date,mentions,
6-Jan-15,1,0
15-Jan-15,1,9
18-Feb-15,18,43
19-Feb-15,50,44
20-Feb-15,30,45
21-Feb-15,7,46
22-Feb-15,4,47
23-Feb-15,27,48
24-Feb-15,53,49
25-Feb-15,44,50
26-Feb-15,49,51
27-Feb-15,17,52
28-Feb-15,24,53
1-Mar-15,18,54
2-Mar-15,34,55
3-Mar-15,23,56
4-Mar-15,37,57
5-Mar-15,23,58
6-Mar-15,39,59
7-Mar-15,11,60
8-Mar-15,7,61
9-Mar-15,18,62
10-Mar-15,28,63
11-Mar-15,53,64
12-Mar-15,43,65
13-Mar-15,27,66
14-Mar-15,23,67
15-Mar-15,9,68
16-Mar-15,12,69
17-Mar-15,54,70
18-Mar-15,30,71
19-Mar-15,34,72
20-Mar-15,24,73
21-Mar-15,9,74
22-Mar-15,7,75
23-Mar-15,12,76
24-Mar-15,13,77
25-Mar-15,40,78
26-Mar-15,26,79
27-Mar-15,30,80
28-Mar-15,6,81
29-Mar-15,13,82
30-Mar-15,271,83
31-Mar-15,111,84
1-Apr-15,35,85
2-Apr-15,17,86
3-Apr-15,26,87
4-Apr-15,6,88
5-Apr-15,10,89
6-Apr-15,14,90
7-Apr-15,120,91
8-Apr-15,35,92
9-Apr-15,25,93
10-Apr-15,28,94
11-Apr-15,6,95
12-Apr-15,11,96
13-Apr-15,20,97
14-Apr-15,40,98
15-Apr-15,47,99
16-Apr-15,23,100
17-Apr-15,22,101
18-Apr-15,12,102
19-Apr-15,13,103
20-Apr-15,15,104
21-Apr-15,43,105
22-Apr-15,44,106
23-Apr-15,45,107
24-Apr-15,48,108
25-Apr-15,14,109
26-Apr-15,6,110
27-Apr-15,19,111
28-Apr-15,48,112
29-Apr-15,31,113
30-Apr-15,40,114
1-May-15,22,115
2-May-15,6,116
3-May-15,22,117
4-May-15,26,118
5-May-15,25,119
6-May-15,14,120
7-May-15,69,121
8-May-15,54,122
9-May-15,12,123
10-May-15,22,124
11-May-15,28,125
12-May-15,16,126
13-May-15,18,127
14-May-15,14,128
15-May-15,30,129
16-May-15,24,130
17-May-15,18,131
18-May-15,56,132
19-May-15,42,133
20-May-15,20,134
21-May-15,19,135
22-May-15,18,136
23-May-15,13,137
24-May-15,17,138
25-May-15,17,139
26-May-15,40,140
27-May-15,29,141
28-May-15,14,142
29-May-15,33,143
30-May-15,17,144
31-May-15,5,145
1-Jun-15,19,146
2-Jun-15,21,147
3-Jun-15,53,148
4-Jun-15,40,149
5-Jun-15,18,150
6-Jun-15,5,151
7-Jun-15,9,152
8-Jun-15,15,153
9-Jun-15,26,154
10-Jun-15,21,155
11-Jun-15,19,156
12-Jun-15,55,157
13-Jun-15,14,158
14-Jun-15,4,159
15-Jun-15,27,160
16-Jun-15,47,161
17-Jun-15,41,162
18-Jun-15,46,163
19-Jun-15,90,164
20-Jun-15,13,165
21-Jun-15,14,166
22-Jun-15,24,167
23-Jun-15,55,168
24-Jun-15,31,169
25-Jun-15,17,170
26-Jun-15,22,171
27-Jun-15,7,172
28-Jun-15,9,173
29-Jun-15,32,174
30-Jun-15,87,175
1-Jul-15,74,176
2-Jul-15,136,177
3-Jul-15,82,178
4-Jul-15,38,179
5-Jul-15,25,180
6-Jul-15,32,181
7-Jul-15,95,182
8-Jul-15,120,183
9-Jul-15,46,184
10-Jul-15,55,185
11-Jul-15,26,186
12-Jul-15,19,187
13-Jul-15,41,188
14-Jul-15,45,189
15-Jul-15,43,190
16-Jul-15,47,191
17-Jul-15,36,192
18-Jul-15,11,193
19-Jul-15,18,194
20-Jul-15,24,195
21-Jul-15,25,196
22-Jul-15,51,197
23-Jul-15,46,198
24-Jul-15,49,199
25-Jul-15,23,200
26-Jul-15,19,201
27-Jul-15,38,202
28-Jul-15,37,203
29-Jul-15,37,204
30-Jul-15,38,205
31-Jul-15,46,206
1-Aug-15,442,207
2-Aug-15,83,208
3-Aug-15,126,209
4-Aug-15,78,210
5-Aug-15,70,211
6-Aug-15,46,212
7-Aug-15,68,213
8-Aug-15,24,214
9-Aug-15,18,215
10-Aug-15,41,216
11-Aug-15,45,217
12-Aug-15,48,218
13-Aug-15,57,219
14-Aug-15,43,220
15-Aug-15,27,221
16-Aug-15,16,222
17-Aug-15,46,223
18-Aug-15,80,224
19-Aug-15,73,225
20-Aug-15,76,226
21-Aug-15,142,227
22-Aug-15,23,228
23-Aug-15,45,229
24-Aug-15,36,230
25-Aug-15,32,231
26-Aug-15,30,232
27-Aug-15,36,233
28-Aug-15,44,234
29-Aug-15,22,235
30-Aug-15,24,236
31-Aug-15,43,237
1-Sep-15,205,238
2-Sep-15,80,239
3-Sep-15,40,240
4-Sep-15,27,241
5-Sep-15,32,242
6-Sep-15,14,243
7-Sep-15,36,244
8-Sep-15,57,245
9-Sep-15,40,246
10-Sep-15,19,247
11-Sep-15,129,248
12-Sep-15,39,249
13-Sep-15,20,250
14-Sep-15,108,251
15-Sep-15,46,252
16-Sep-15,47,253
17-Sep-15,32,254
18-Sep-15,72,255
19-Sep-15,23,256
20-Sep-15,25,257
21-Sep-15,72,258
22-Sep-15,281,259
23-Sep-15,72,260
24-Sep-15,30,261
25-Sep-15,32,262
26-Sep-15,17,263
27-Sep-15,16,264
28-Sep-15,33,265
29-Sep-15,49,266
30-Sep-15,51,267
1-Oct-15,29,268
2-Oct-15,21,269
3-Oct-15,11,270
4-Oct-15,53,271
5-Oct-15,103,272
6-Oct-15,50,273
7-Oct-15,32,274
8-Oct-15,12,275
9-Oct-15,29,276
10-Oct-15,11,277
11-Oct-15,6,278
12-Oct-15,27,279
13-Oct-15,16,280
14-Oct-15,24,281
15-Oct-15,36,282
16-Oct-15,24,283
17-Oct-15,12,284
18-Oct-15,9,285
19-Oct-15,39,286
20-Oct-15,61,287
21-Oct-15,5,288
22-Oct-15,6,289
23-Oct-15,64,290
24-Oct-15,43,291
25-Oct-15,24,292
26-Oct-15,53,293
27-Oct-15,42,294
28-Oct-15,73,295
29-Oct-15,45,296
30-Oct-15,28,297
31-Oct-15,12,298
1-Nov-15,10,299
2-Nov-15,45,300
3-Nov-15,61,301
4-Nov-15,72,302
5-Nov-15,96,303
6-Nov-15,38,304
7-Nov-15,13,305
