date	mentions
6-Jan-15	1
15-Jan-15	1
18-Feb-15	18
19-Feb-15	50
20-Feb-15	30
21-Feb-15	7
22-Feb-15	4
23-Feb-15	27
24-Feb-15	53
25-Feb-15	44
26-Feb-15	49
27-Feb-15	17
28-Feb-15	24
1-Mar-15	18
2-Mar-15	34
3-Mar-15	23
4-Mar-15	37
5-Mar-15	23
6-Mar-15	39
7-Mar-15	11
8-Mar-15	7
9-Mar-15	18
10-Mar-15	28
11-Mar-15	53
12-Mar-15	43
13-Mar-15	27
14-Mar-15	23
15-Mar-15	9
16-Mar-15	12
17-Mar-15	54
18-Mar-15	30
19-Mar-15	34
20-Mar-15	24
21-Mar-15	9
22-Mar-15	7
23-Mar-15	12
24-Mar-15	13
25-Mar-15	40
26-Mar-15	26
27-Mar-15	30
28-Mar-15	6
29-Mar-15	13
30-Mar-15	271
31-Mar-15	111
1-Apr-15	35
2-Apr-15	17
3-Apr-15	26
4-Apr-15	6
5-Apr-15	10
6-Apr-15	14
7-Apr-15	120
8-Apr-15	35
9-Apr-15	25
10-Apr-15	28
11-Apr-15	6
12-Apr-15	11
13-Apr-15	20
14-Apr-15	40
15-Apr-15	47
16-Apr-15	23
17-Apr-15	22
18-Apr-15	12
19-Apr-15	13
20-Apr-15	15
21-Apr-15	43
22-Apr-15	44
23-Apr-15	45
24-Apr-15	48
25-Apr-15	14
26-Apr-15	6
27-Apr-15	19
28-Apr-15	48
29-Apr-15	31
30-Apr-15	40
1-May-15	22
2-May-15	6
3-May-15	22
4-May-15	26
5-May-15	25
6-May-15	14
7-May-15	69
8-May-15	54
9-May-15	12
10-May-15	22
11-May-15	28
12-May-15	16
13-May-15	18
14-May-15	14
15-May-15	30
16-May-15	24
17-May-15	18
18-May-15	56
19-May-15	42
20-May-15	20
21-May-15	19
22-May-15	18
23-May-15	13
24-May-15	17
25-May-15	17
26-May-15	40
27-May-15	29
28-May-15	14
29-May-15	33
30-May-15	17
31-May-15	5
1-Jun-15	19
2-Jun-15	21
3-Jun-15	53
4-Jun-15	40
5-Jun-15	18
6-Jun-15	5
7-Jun-15	9
8-Jun-15	15
9-Jun-15	26
10-Jun-15	21
11-Jun-15	19
12-Jun-15	55
13-Jun-15	14
14-Jun-15	4
15-Jun-15	27
16-Jun-15	47
17-Jun-15	41
18-Jun-15	46
19-Jun-15	90
20-Jun-15	13
21-Jun-15	14
22-Jun-15	24
23-Jun-15	55
24-Jun-15	31
25-Jun-15	17
26-Jun-15	22
27-Jun-15	7
28-Jun-15	9
29-Jun-15	32
30-Jun-15	87
1-Jul-15	74
2-Jul-15	136
3-Jul-15	82
4-Jul-15	38
5-Jul-15	25
6-Jul-15	32
7-Jul-15	95
8-Jul-15	120
9-Jul-15	46
10-Jul-15	55
11-Jul-15	26
12-Jul-15	19
13-Jul-15	41
14-Jul-15	45
15-Jul-15	43
16-Jul-15	47
17-Jul-15	36
18-Jul-15	11
19-Jul-15	18
20-Jul-15	24
21-Jul-15	25
22-Jul-15	51
23-Jul-15	46
24-Jul-15	49
25-Jul-15	23
26-Jul-15	19
27-Jul-15	38
28-Jul-15	37
29-Jul-15	37
30-Jul-15	38
31-Jul-15	46
1-Aug-15	442
2-Aug-15	83
3-Aug-15	126
4-Aug-15	78
5-Aug-15	70
6-Aug-15	46
7-Aug-15	68
8-Aug-15	24
9-Aug-15	18
10-Aug-15	41
11-Aug-15	45
12-Aug-15	48
13-Aug-15	57
14-Aug-15	43
15-Aug-15	27
16-Aug-15	16
17-Aug-15	46
18-Aug-15	80
19-Aug-15	73
20-Aug-15	76
21-Aug-15	142
22-Aug-15	23
23-Aug-15	45
24-Aug-15	36
25-Aug-15	32
26-Aug-15	30
27-Aug-15	36
28-Aug-15	44
29-Aug-15	22
30-Aug-15	24
31-Aug-15	43
1-Sep-15	205
2-Sep-15	80
3-Sep-15	40
4-Sep-15	27
5-Sep-15	32
6-Sep-15	14
7-Sep-15	36
8-Sep-15	57
9-Sep-15	40
10-Sep-15	19
11-Sep-15	129
12-Sep-15	39
13-Sep-15	20
14-Sep-15	108
15-Sep-15	46
16-Sep-15	47
17-Sep-15	32
18-Sep-15	72
19-Sep-15	23
20-Sep-15	25
21-Sep-15	72
22-Sep-15	281
23-Sep-15	72
24-Sep-15	30
25-Sep-15	32
26-Sep-15	17
27-Sep-15	16
28-Sep-15	33
29-Sep-15	49
30-Sep-15	51
1-Oct-15	29
2-Oct-15	21
3-Oct-15	11
4-Oct-15	53
5-Oct-15	103
6-Oct-15	50
7-Oct-15	32
8-Oct-15	12
9-Oct-15	29
10-Oct-15	11
11-Oct-15	6
12-Oct-15	27
13-Oct-15	16
14-Oct-15	24
15-Oct-15	36
16-Oct-15	24
17-Oct-15	12
18-Oct-15	9
19-Oct-15	39
20-Oct-15	61
21-Oct-15	5
22-Oct-15	6
23-Oct-15	64
24-Oct-15	43
25-Oct-15	24
26-Oct-15	53
27-Oct-15	42
28-Oct-15	73
29-Oct-15	45
30-Oct-15	28
31-Oct-15	12
1-Nov-15	10
2-Nov-15	45
3-Nov-15	61
4-Nov-15	72
5-Nov-15	96
6-Nov-15	38
7-Nov-15	13
8-Nov-15	16
9-Nov-15	35
10-Nov-15	55
11-Nov-15	54
12-Nov-15	39
13-Nov-15	49
14-Nov-15	15
15-Nov-15	17
16-Nov-15	35
17-Nov-15	34
18-Nov-15	35
19-Nov-15	64
20-Nov-15	76
21-Nov-15	19
22-Nov-15	21
23-Nov-15	25
24-Nov-15	13
25-Nov-15	41
26-Nov-15	42
27-Nov-15	34
28-Nov-15	14
29-Nov-15	13
30-Nov-15	44
1-Dec-15	64
2-Dec-15	38
3-Dec-15	124
4-Dec-15	28
5-Dec-15	6
6-Dec-15	15
7-Dec-15	42
8-Dec-15	75
9-Dec-15	840
10-Dec-15	196
11-Dec-15	68
12-Dec-15	33
13-Dec-15	17
14-Dec-15	45
15-Dec-15	53
16-Dec-15	47
17-Dec-15	51
18-Dec-15	31
19-Dec-15	70
20-Dec-15	31
21-Dec-15	42
22-Dec-15	34
23-Dec-15	45
24-Dec-15	23
25-Dec-15	16
26-Dec-15	10
27-Dec-15	11
28-Dec-15	21
29-Dec-15	18
30-Dec-15	24
31-Dec-15	18
1-Jan-16	8
2-Jan-16	7
3-Jan-16	12
4-Jan-16	24
5-Jan-16	15
6-Jan-16	30
7-Jan-16	31
8-Jan-16	23
9-Jan-16	8
10-Jan-16	11
11-Jan-16	37
12-Jan-16	23
13-Jan-16	35
14-Jan-16	42
15-Jan-16	49
16-Jan-16	31
17-Jan-16	31
18-Jan-16	47
19-Jan-16	79
20-Jan-16	137
21-Jan-16	54
22-Jan-16	42
23-Jan-16	14
24-Jan-16	22
25-Jan-16	45
26-Jan-16	51
27-Jan-16	28
28-Jan-16	36
29-Jan-16	28
30-Jan-16	13
31-Jan-16	10
1-Feb-16	27
2-Feb-16	50
3-Feb-16	52
4-Feb-16	24
5-Feb-16	26
6-Feb-16	5
7-Feb-16	16
8-Feb-16	24
9-Feb-16	25
10-Feb-16	57
11-Feb-16	35
12-Feb-16	16
13-Feb-16	7
14-Feb-16	20
15-Feb-16	36
16-Feb-16	61
17-Feb-16	91
18-Feb-16	180
19-Feb-16	69
20-Feb-16	22
21-Feb-16	18
22-Feb-16	32
23-Feb-16	50
24-Feb-16	27
25-Feb-16	51
26-Feb-16	33
27-Feb-16	13
28-Feb-16	12
29-Feb-16	41
1-Mar-16	33
2-Mar-16	32
3-Mar-16	50
4-Mar-16	36
5-Mar-16	11
6-Mar-16	11
7-Mar-16	21
8-Mar-16	38
9-Mar-16	43
10-Mar-16	36
11-Mar-16	39
12-Mar-16	16
13-Mar-16	25
14-Mar-16	111
15-Mar-16	73
16-Mar-16	51
17-Mar-16	39
18-Mar-16	49
19-Mar-16	11
20-Mar-16	6
21-Mar-16	58
22-Mar-16	40
23-Mar-16	30
24-Mar-16	27
25-Mar-16	19
26-Mar-16	19
27-Mar-16	14
28-Mar-16	35
29-Mar-16	34
30-Mar-16	34
31-Mar-16	23
1-Apr-16	36
2-Apr-16	13
3-Apr-16	16
4-Apr-16	37
5-Apr-16	63
6-Apr-16	52
7-Apr-16	34
8-Apr-16	33
9-Apr-16	8
10-Apr-16	9
11-Apr-16	43
12-Apr-16	57
13-Apr-16	39
14-Apr-16	32
15-Apr-16	37
16-Apr-16	19
17-Apr-16	4
18-Apr-16	33
19-Apr-16	34
20-Apr-16	21
21-Apr-16	27
22-Apr-16	32
23-Apr-16	9
24-Apr-16	13
25-Apr-16	37
26-Apr-16	65
27-Apr-16	48
28-Apr-16	53
29-Apr-16	52
30-Apr-16	19
1-May-16	14
2-May-16	1626
3-May-16	423
4-May-16	147
5-May-16	248
6-May-16	173
7-May-16	32
8-May-16	27
9-May-16	44
10-May-16	47
11-May-16	45
12-May-16	46
13-May-16	40
14-May-16	16
15-May-16	14
16-May-16	27
17-May-16	36
18-May-16	25
19-May-16	34
20-May-16	31
21-May-16	8
22-May-16	20
23-May-16	22
24-May-16	53
25-May-16	107
26-May-16	44
27-May-16	41
28-May-16	16
29-May-16	17
30-May-16	89
31-May-16	335
1-Jun-16	65
2-Jun-16	25
3-Jun-16	32
4-Jun-16	9
5-Jun-16	17
6-Jun-16	48
7-Jun-16	34
8-Jun-16	30
9-Jun-16	26
10-Jun-16	31
11-Jun-16	6
12-Jun-16	6
13-Jun-16	38
14-Jun-16	37
15-Jun-16	33
16-Jun-16	63
17-Jun-16	73
18-Jun-16	16
19-Jun-16	14
20-Jun-16	81
21-Jun-16	86
22-Jun-16	42
23-Jun-16	59
24-Jun-16	41
25-Jun-16	20
26-Jun-16	10
27-Jun-16	36
28-Jun-16	54
29-Jun-16	34
30-Jun-16	24
1-Jul-16	39
2-Jul-16	8
3-Jul-16	15
4-Jul-16	68
5-Jul-16	60
6-Jul-16	60
7-Jul-16	34
8-Jul-16	26
9-Jul-16	11
10-Jul-16	8
11-Jul-16	26
12-Jul-16	78
13-Jul-16	42
14-Jul-16	43
15-Jul-16	38
16-Jul-16	11
17-Jul-16	27
18-Jul-16	32
19-Jul-16	28
20-Jul-16	22
21-Jul-16	22
22-Jul-16	27
23-Jul-16	10
24-Jul-16	7
25-Jul-16	73
26-Jul-16	675
27-Jul-16	544
28-Jul-16	38
29-Jul-16	30
30-Jul-16	6
31-Jul-16	26
1-Aug-16	31
2-Aug-16	38
3-Aug-16	251
4-Aug-16	79
5-Aug-16	42
6-Aug-16	13
7-Aug-16	10
8-Aug-16	93
9-Aug-16	76
10-Aug-16	35
11-Aug-16	73
12-Aug-16	80
13-Aug-16	50
14-Aug-16	74
15-Aug-16	68
16-Aug-16	54
17-Aug-16	68
18-Aug-16	91
19-Aug-16	66
20-Aug-16	35
21-Aug-16	44
22-Aug-16	69
23-Aug-16	78
24-Aug-16	93
25-Aug-16	83
26-Aug-16	58
27-Aug-16	42
28-Aug-16	74
29-Aug-16	68
30-Aug-16	52
31-Aug-16	45
1-Sep-16	40
2-Sep-16	29
3-Sep-16	14
4-Sep-16	10
5-Sep-16	30
6-Sep-16	50
7-Sep-16	29
8-Sep-16	34
9-Sep-16	42
10-Sep-16	33
11-Sep-16	49
12-Sep-16	50
13-Sep-16	51
14-Sep-16	61
15-Sep-16	44
16-Sep-16	32
17-Sep-16	45
18-Sep-16	23
19-Sep-16	59
20-Sep-16	101
21-Sep-16	118
22-Sep-16	44
23-Sep-16	46
24-Sep-16	21
25-Sep-16	13
26-Sep-16	43
27-Sep-16	78
28-Sep-16	73
29-Sep-16	52
30-Sep-16	42
1-Oct-16	16
2-Oct-16	33
3-Oct-16	35
4-Oct-16	44
5-Oct-16	51
6-Oct-16	56
7-Oct-16	43
8-Oct-16	10
9-Oct-16	14
10-Oct-16	32
11-Oct-16	30
12-Oct-16	56
13-Oct-16	33
14-Oct-16	24
15-Oct-16	21
16-Oct-16	14
17-Oct-16	26
18-Oct-16	46
19-Oct-16	52
20-Oct-16	50
21-Oct-16	38
22-Oct-16	15
23-Oct-16	22
24-Oct-16	88
25-Oct-16	77
26-Oct-16	40
27-Oct-16	44
28-Oct-16	75
29-Oct-16	28
30-Oct-16	18
31-Oct-16	97
1-Nov-16	56
2-Nov-16	28
3-Nov-16	36
4-Nov-16	38
5-Nov-16	12
6-Nov-16	18
7-Nov-16	34
8-Nov-16	41
9-Nov-16	49
10-Nov-16	35
11-Nov-16	38
12-Nov-16	19
13-Nov-16	24
14-Nov-16	40
15-Nov-16	47
16-Nov-16	89
17-Nov-16	38
18-Nov-16	43
19-Nov-16	15
20-Nov-16	14
21-Nov-16	59
22-Nov-16	61
23-Nov-16	61
24-Nov-16	36
25-Nov-16	44
26-Nov-16	31
27-Nov-16	16
28-Nov-16	53
29-Nov-16	49
30-Nov-16	56
1-Dec-16	73
2-Dec-16	48
3-Dec-16	18
4-Dec-16	13
5-Dec-16	40
6-Dec-16	85
7-Dec-16	57
8-Dec-16	49
9-Dec-16	36
10-Dec-16	15
11-Dec-16	28
12-Dec-16	31
13-Dec-16	67
14-Dec-16	46
15-Dec-16	36
16-Dec-16	31
17-Dec-16	15
18-Dec-16	18
19-Dec-16	40
20-Dec-16	51
21-Dec-16	62
22-Dec-16	49
23-Dec-16	39
24-Dec-16	17
25-Dec-16	21
26-Dec-16	31
27-Dec-16	36
28-Dec-16	44
29-Dec-16	21
30-Dec-16	21
31-Dec-16	18
1-Jan-17	19
2-Jan-17	63
3-Jan-17	72
4-Jan-17	56
5-Jan-17	86
6-Jan-17	102
7-Jan-17	33
8-Jan-17	16
9-Jan-17	99
10-Jan-17	76
11-Jan-17	154
12-Jan-17	169
13-Jan-17	69
14-Jan-17	26
15-Jan-17	35
16-Jan-17	55
17-Jan-17	79
18-Jan-17	87
19-Jan-17	74
20-Jan-17	59
21-Jan-17	25
22-Jan-17	16
23-Jan-17	51
24-Jan-17	44
25-Jan-17	38
26-Jan-17	61
27-Jan-17	105
28-Jan-17	30
29-Jan-17	26
30-Jan-17	52
31-Jan-17	42
1-Feb-17	49
2-Feb-17	76
3-Feb-17	61
4-Feb-17	13
5-Feb-17	13
6-Feb-17	60
7-Feb-17	77
8-Feb-17	98
9-Feb-17	76
10-Feb-17	72
11-Feb-17	53
12-Feb-17	14
13-Feb-17	66
14-Feb-17	63
15-Feb-17	59
16-Feb-17	40
17-Feb-17	32
18-Feb-17	31
19-Feb-17	22
20-Feb-17	29
21-Feb-17	56
22-Feb-17	66
23-Feb-17	80
24-Feb-17	92
25-Feb-17	30
26-Feb-17	32
27-Feb-17	82
28-Feb-17	136
1-Mar-17	80
2-Mar-17	69
3-Mar-17	109
4-Mar-17	26
5-Mar-17	34
6-Mar-17	105
7-Mar-17	69
8-Mar-17	64
9-Mar-17	97
10-Mar-17	181
11-Mar-17	157
12-Mar-17	34
13-Mar-17	78
14-Mar-17	44
15-Mar-17	46
16-Mar-17	59
17-Mar-17	73
18-Mar-17	20
19-Mar-17	26
20-Mar-17	123
21-Mar-17	57
22-Mar-17	60
23-Mar-17	38
24-Mar-17	64
25-Mar-17	19
26-Mar-17	27
27-Mar-17	30
28-Mar-17	41
29-Mar-17	57
30-Mar-17	70
31-Mar-17	40
1-Apr-17	12
2-Apr-17	13
3-Apr-17	18
