date	mentions
15-Jan-15	1
18-Feb-15	18
19-Feb-15	50
20-Feb-15	30
21-Feb-15	7
22-Feb-15	4
23-Feb-15	26
24-Feb-15	51
25-Feb-15	43
26-Feb-15	47
27-Feb-15	17
28-Feb-15	24
1-Mar-15	16
2-Mar-15	33
3-Mar-15	23
4-Mar-15	36
5-Mar-15	23
6-Mar-15	39
7-Mar-15	10
8-Mar-15	7
9-Mar-15	18
10-Mar-15	28
11-Mar-15	53
12-Mar-15	43
13-Mar-15	25
14-Mar-15	23
15-Mar-15	9
16-Mar-15	12
17-Mar-15	54
18-Mar-15	30
19-Mar-15	33
20-Mar-15	22
21-Mar-15	9
22-Mar-15	7
23-Mar-15	12
24-Mar-15	12
25-Mar-15	37
26-Mar-15	26
27-Mar-15	24
28-Mar-15	6
29-Mar-15	12
30-Mar-15	271
31-Mar-15	111
1-Apr-15	34
2-Apr-15	14
3-Apr-15	20
4-Apr-15	6
5-Apr-15	10
6-Apr-15	13
7-Apr-15	119
8-Apr-15	33
9-Apr-15	23
10-Apr-15	26
11-Apr-15	5
12-Apr-15	11
13-Apr-15	19
14-Apr-15	40
15-Apr-15	45
16-Apr-15	23
17-Apr-15	20
18-Apr-15	12
19-Apr-15	11
20-Apr-15	14
21-Apr-15	43
22-Apr-15	43
23-Apr-15	43
24-Apr-15	47
25-Apr-15	14
26-Apr-15	6
27-Apr-15	18
28-Apr-15	47
29-Apr-15	30
30-Apr-15	40
1-May-15	20
2-May-15	6
3-May-15	21
4-May-15	24
5-May-15	23
6-May-15	14
7-May-15	69
8-May-15	53
9-May-15	11
10-May-15	22
11-May-15	25
12-May-15	14
13-May-15	16
14-May-15	14
15-May-15	29
16-May-15	22
17-May-15	14
18-May-15	55
19-May-15	41
20-May-15	19
21-May-15	16
22-May-15	18
23-May-15	13
24-May-15	16
25-May-15	15
26-May-15	39
27-May-15	27
28-May-15	10
29-May-15	28
30-May-15	17
31-May-15	5
1-Jun-15	17
2-Jun-15	20
3-Jun-15	52
4-Jun-15	36
5-Jun-15	18
6-Jun-15	4
7-Jun-15	8
8-Jun-15	15
9-Jun-15	21
10-Jun-15	17
11-Jun-15	19
12-Jun-15	54
13-Jun-15	14
14-Jun-15	4
15-Jun-15	23
16-Jun-15	45
17-Jun-15	38
18-Jun-15	42
19-Jun-15	85
20-Jun-15	13
21-Jun-15	13
22-Jun-15	23
23-Jun-15	50
24-Jun-15	25
25-Jun-15	16
26-Jun-15	19
27-Jun-15	6
28-Jun-15	9
