date	mentions
6-Jan-15	1
23-Feb-15	1
24-Feb-15	2
25-Feb-15	1
26-Feb-15	2
1-Mar-15	2
2-Mar-15	1
4-Mar-15	1
7-Mar-15	1
13-Mar-15	2
20-Mar-15	2
24-Mar-15	1
25-Mar-15	2
27-Mar-15	2
29-Mar-15	1
1-Apr-15	1
2-Apr-15	3
3-Apr-15	5
6-Apr-15	1
7-Apr-15	1
9-Apr-15	2
10-Apr-15	2
11-Apr-15	1
13-Apr-15	1
15-Apr-15	2
17-Apr-15	2
19-Apr-15	2
20-Apr-15	1
22-Apr-15	1
23-Apr-15	2
24-Apr-15	1
27-Apr-15	1
28-Apr-15	1
29-Apr-15	1
1-May-15	2
3-May-15	1
4-May-15	1
5-May-15	2
8-May-15	1
9-May-15	1
11-May-15	3
12-May-15	2
13-May-15	2
16-May-15	1
17-May-15	3
18-May-15	1
19-May-15	1
20-May-15	1
21-May-15	3
24-May-15	1
25-May-15	2
26-May-15	1
27-May-15	2
28-May-15	4
29-May-15	4
1-Jun-15	2
2-Jun-15	1
3-Jun-15	1
4-Jun-15	4
6-Jun-15	1
9-Jun-15	5
10-Jun-15	4
12-Jun-15	1
15-Jun-15	4
16-Jun-15	2
17-Jun-15	3
18-Jun-15	4
19-Jun-15	2
21-Jun-15	1
22-Jun-15	1
23-Jun-15	5
24-Jun-15	6
25-Jun-15	1
26-Jun-15	3
27-Jun-15	1
30-Jun-15	1
1-Jul-15	4
2-Jul-15	5
3-Jul-15	1
6-Jul-15	1
7-Jul-15	2
8-Jul-15	5
9-Jul-15	5
10-Jul-15	2
11-Jul-15	3
12-Jul-15	1
13-Jul-15	1
14-Jul-15	5
15-Jul-15	8
16-Jul-15	7
17-Jul-15	3
18-Jul-15	1
19-Jul-15	2
20-Jul-15	5
21-Jul-15	2
22-Jul-15	2
23-Jul-15	6
24-Jul-15	5
25-Jul-15	2
26-Jul-15	1
27-Jul-15	6
28-Jul-15	4
29-Jul-15	2
30-Jul-15	3
31-Jul-15	8
1-Aug-15	4
2-Aug-15	2
3-Aug-15	9
4-Aug-15	5
5-Aug-15	9
6-Aug-15	3
7-Aug-15	2
8-Aug-15	2
10-Aug-15	7
11-Aug-15	8
12-Aug-15	10
13-Aug-15	5
14-Aug-15	3
15-Aug-15	1
16-Aug-15	3
17-Aug-15	6
18-Aug-15	8
19-Aug-15	4
20-Aug-15	5
21-Aug-15	2
23-Aug-15	1
24-Aug-15	7
25-Aug-15	3
26-Aug-15	1
27-Aug-15	2
28-Aug-15	8
29-Aug-15	3
30-Aug-15	1
31-Aug-15	3
1-Sep-15	13
2-Sep-15	5
3-Sep-15	7
4-Sep-15	3
5-Sep-15	3
6-Sep-15	1
7-Sep-15	1
8-Sep-15	10
9-Sep-15	8
11-Sep-15	5
12-Sep-15	3
13-Sep-15	1
14-Sep-15	6
15-Sep-15	18
16-Sep-15	13
17-Sep-15	1
18-Sep-15	12
19-Sep-15	2
20-Sep-15	2
21-Sep-15	4
22-Sep-15	3
23-Sep-15	3
24-Sep-15	4
25-Sep-15	1
26-Sep-15	1
27-Sep-15	5
28-Sep-15	6
29-Sep-15	13
30-Sep-15	6
1-Oct-15	3
3-Oct-15	3
4-Oct-15	1
5-Oct-15	13
6-Oct-15	3
7-Oct-15	4
8-Oct-15	3
9-Oct-15	4
12-Oct-15	6
13-Oct-15	3
14-Oct-15	10
15-Oct-15	11
16-Oct-15	5
19-Oct-15	5
20-Oct-15	2
22-Oct-15	4
23-Oct-15	3
24-Oct-15	3
25-Oct-15	3
26-Oct-15	10
27-Oct-15	11
28-Oct-15	6
29-Oct-15	12
30-Oct-15	3
2-Nov-15	5
3-Nov-15	4
4-Nov-15	8
5-Nov-15	4
6-Nov-15	8
7-Nov-15	3
8-Nov-15	3
9-Nov-15	4
10-Nov-15	8
11-Nov-15	12
12-Nov-15	9
13-Nov-15	15
15-Nov-15	1
16-Nov-15	5
17-Nov-15	7
18-Nov-15	8
19-Nov-15	9
20-Nov-15	8
21-Nov-15	1
22-Nov-15	2
23-Nov-15	3
24-Nov-15	1
25-Nov-15	5
26-Nov-15	3
27-Nov-15	5
28-Nov-15	3
29-Nov-15	2
30-Nov-15	8
1-Dec-15	5
2-Dec-15	1
3-Dec-15	5
4-Dec-15	6
5-Dec-15	2
6-Dec-15	2
7-Dec-15	9
8-Dec-15	12
9-Dec-15	6
10-Dec-15	19
11-Dec-15	6
12-Dec-15	3
13-Dec-15	2
14-Dec-15	5
15-Dec-15	14
16-Dec-15	10
17-Dec-15	31
18-Dec-15	14
19-Dec-15	22
20-Dec-15	11
21-Dec-15	22
22-Dec-15	7
23-Dec-15	11
24-Dec-15	8
25-Dec-15	2
26-Dec-15	1
27-Dec-15	4
28-Dec-15	5
29-Dec-15	4
30-Dec-15	1
31-Dec-15	6
1-Jan-16	2
2-Jan-16	1
3-Jan-16	1
4-Jan-16	6
5-Jan-16	2
6-Jan-16	9
7-Jan-16	8
8-Jan-16	6
9-Jan-16	2
10-Jan-16	1
11-Jan-16	5
12-Jan-16	7
13-Jan-16	5
14-Jan-16	10
15-Jan-16	6
16-Jan-16	3
17-Jan-16	2
18-Jan-16	6
19-Jan-16	10
20-Jan-16	17
21-Jan-16	14
22-Jan-16	13
23-Jan-16	3
24-Jan-16	9
25-Jan-16	16
26-Jan-16	8
27-Jan-16	10
28-Jan-16	16
29-Jan-16	10
30-Jan-16	4
31-Jan-16	4
1-Feb-16	13
2-Feb-16	8
3-Feb-16	16
4-Feb-16	9
5-Feb-16	1
6-Feb-16	1
7-Feb-16	5
8-Feb-16	9
9-Feb-16	6
10-Feb-16	13
11-Feb-16	9
12-Feb-16	6
13-Feb-16	1
14-Feb-16	5
15-Feb-16	10
16-Feb-16	31
17-Feb-16	46
18-Feb-16	15
19-Feb-16	6
20-Feb-16	2
21-Feb-16	3
22-Feb-16	11
23-Feb-16	32
24-Feb-16	12
25-Feb-16	11
26-Feb-16	5
27-Feb-16	3
28-Feb-16	3
29-Feb-16	15
1-Mar-16	13
2-Mar-16	12
3-Mar-16	26
4-Mar-16	9
5-Mar-16	1
6-Mar-16	4
7-Mar-16	8
8-Mar-16	13
9-Mar-16	10
10-Mar-16	11
11-Mar-16	13
12-Mar-16	1
13-Mar-16	3
14-Mar-16	11
15-Mar-16	11
16-Mar-16	14
17-Mar-16	7
18-Mar-16	10
19-Mar-16	1
20-Mar-16	2
21-Mar-16	20
22-Mar-16	22
23-Mar-16	14
24-Mar-16	8
25-Mar-16	7
26-Mar-16	8
27-Mar-16	5
28-Mar-16	11
29-Mar-16	13
30-Mar-16	16
31-Mar-16	9
1-Apr-16	9
2-Apr-16	5
3-Apr-16	2
4-Apr-16	14
5-Apr-16	48
6-Apr-16	27
7-Apr-16	19
8-Apr-16	14
9-Apr-16	1
10-Apr-16	3
11-Apr-16	22
12-Apr-16	13
13-Apr-16	13
14-Apr-16	15
15-Apr-16	11
16-Apr-16	5
17-Apr-16	2
18-Apr-16	10
19-Apr-16	17
20-Apr-16	11
21-Apr-16	12
22-Apr-16	11
23-Apr-16	2
24-Apr-16	2
25-Apr-16	6
26-Apr-16	39
27-Apr-16	31
28-Apr-16	30
29-Apr-16	28
30-Apr-16	8
1-May-16	4
2-May-16	26
3-May-16	35
4-May-16	36
5-May-16	11
6-May-16	14
7-May-16	3
8-May-16	4
9-May-16	9
10-May-16	16
11-May-16	14
12-May-16	23
13-May-16	20
14-May-16	4
15-May-16	5
16-May-16	6
17-May-16	23
18-May-16	13
19-May-16	16
20-May-16	9
21-May-16	3
22-May-16	3
23-May-16	8
24-May-16	29
25-May-16	20
26-May-16	11
27-May-16	16
28-May-16	6
29-May-16	5
30-May-16	11
31-May-16	18
1-Jun-16	32
2-Jun-16	8
3-Jun-16	14
4-Jun-16	2
5-Jun-16	8
6-Jun-16	35
7-Jun-16	18
8-Jun-16	12
9-Jun-16	11
10-Jun-16	13
11-Jun-16	1
12-Jun-16	3
13-Jun-16	13
14-Jun-16	16
15-Jun-16	19
16-Jun-16	49
17-Jun-16	28
18-Jun-16	4
19-Jun-16	7
20-Jun-16	16
21-Jun-16	33
22-Jun-16	17
23-Jun-16	39
24-Jun-16	8
25-Jun-16	3
26-Jun-16	1
27-Jun-16	16
28-Jun-16	17
29-Jun-16	11
30-Jun-16	7
1-Jul-16	9
3-Jul-16	9
4-Jul-16	40
5-Jul-16	25
6-Jul-16	13
7-Jul-16	11
8-Jul-16	9
9-Jul-16	3
10-Jul-16	4
11-Jul-16	10
12-Jul-16	56
13-Jul-16	26
14-Jul-16	25
15-Jul-16	26
16-Jul-16	2
17-Jul-16	4
18-Jul-16	12
19-Jul-16	14
20-Jul-16	10
21-Jul-16	9
22-Jul-16	5
23-Jul-16	4
24-Jul-16	4
25-Jul-16	7
26-Jul-16	6
27-Jul-16	10
28-Jul-16	13
29-Jul-16	14
30-Jul-16	1
31-Jul-16	6
1-Aug-16	21
2-Aug-16	26
3-Aug-16	25
4-Aug-16	6
5-Aug-16	3
6-Aug-16	1
7-Aug-16	2
8-Aug-16	9
9-Aug-16	27
10-Aug-16	14
11-Aug-16	15
12-Aug-16	19
13-Aug-16	4
14-Aug-16	8
15-Aug-16	5
16-Aug-16	13
17-Aug-16	16
18-Aug-16	11
19-Aug-16	13
20-Aug-16	5
21-Aug-16	5
22-Aug-16	23
23-Aug-16	27
24-Aug-16	36
25-Aug-16	28
26-Aug-16	13
27-Aug-16	4
28-Aug-16	9
29-Aug-16	13
30-Aug-16	14
31-Aug-16	10
1-Sep-16	26
2-Sep-16	11
3-Sep-16	3
4-Sep-16	6
5-Sep-16	12
6-Sep-16	26
7-Sep-16	17
8-Sep-16	18
9-Sep-16	12
10-Sep-16	6
11-Sep-16	8
12-Sep-16	13
13-Sep-16	9
14-Sep-16	15
15-Sep-16	22
16-Sep-16	22
17-Sep-16	4
18-Sep-16	7
19-Sep-16	28
20-Sep-16	37
21-Sep-16	36
22-Sep-16	13
23-Sep-16	25
24-Sep-16	5
25-Sep-16	6
26-Sep-16	28
27-Sep-16	51
28-Sep-16	56
29-Sep-16	20
30-Sep-16	12
1-Oct-16	5
2-Oct-16	16
3-Oct-16	16
4-Oct-16	20
5-Oct-16	25
6-Oct-16	28
7-Oct-16	15
8-Oct-16	2
9-Oct-16	4
10-Oct-16	9
11-Oct-16	9
12-Oct-16	33
13-Oct-16	19
14-Oct-16	17
15-Oct-16	7
16-Oct-16	7
17-Oct-16	15
18-Oct-16	25
19-Oct-16	42
20-Oct-16	36
21-Oct-16	24
22-Oct-16	6
23-Oct-16	9
24-Oct-16	61
25-Oct-16	33
26-Oct-16	21
27-Oct-16	18
28-Oct-16	25
29-Oct-16	9
30-Oct-16	5
31-Oct-16	21
1-Nov-16	27
2-Nov-16	12
3-Nov-16	18
4-Nov-16	22
5-Nov-16	3
6-Nov-16	8
7-Nov-16	14
8-Nov-16	18
9-Nov-16	13
10-Nov-16	11
11-Nov-16	14
12-Nov-16	7
13-Nov-16	12
14-Nov-16	25
15-Nov-16	23
16-Nov-16	76
17-Nov-16	23
18-Nov-16	15
19-Nov-16	4
20-Nov-16	4
21-Nov-16	36
