Column 1 1,Column 2
10/14/2015,2
10/19/2015,2
12/30/2015,1
1/25/2016,1
1/26/2016,2
2/4/2016,2
2/9/2016,2
2/10/2016,2
2/17/2016,1
3/1/2016,1
3/12/2016,1
3/25/2016,1
4/29/2016,1
5/20/2016,1
5/24/2016,1
8/10/2016,1
8/16/2016,1
8/17/2016,2
8/18/2016,2
8/31/2016,1
9/1/2016,1
9/9/2016,1
9/11/2016,1
9/18/2016,2
9/23/2016,1
9/26/2016,3
9/30/2016,1
10/3/2016,1
10/4/2016,1
10/6/2016,1
10/7/2016,1
10/21/2016,6
10/22/2016,1
10/23/2016,1
10/24/2016,6
10/25/2016,1
10/26/2016,1
10/31/2016,1
11/10/2016,1
11/19/2016,1
11/29/2016,3
11/30/2016,1
12/4/2016,2
12/6/2016,1
12/7/2016,4
12/8/2016,2
12/9/2016,1
12/15/2016,1
12/20/2016,1
12/22/2016,1
12/28/2016,3
12/30/2016,1
1/3/2017,1
1/5/2017,2
1/6/2017,1
1/7/2017,2
1/9/2017,1
1/27/2017,1
1/30/2017,3
2/2/2017,1
2/3/2017,1
2/21/2017,1
2/27/2017,2
2/28/2017,5
3/1/2017,1
3/2/2017,1
3/6/2017,1
3/20/2017,11
3/26/2017,1
3/28/2017,1
3/29/2017,5
3/30/2017,1
