date	mentions
14-Oct-15	2
19-Oct-15	2
30-Dec-15	1
25-Jan-16	1
26-Jan-16	2
4-Feb-16	2
9-Feb-16	2
10-Feb-16	2
17-Feb-16	1
1-Mar-16	1
12-Mar-16	1
25-Mar-16	1
29-Apr-16	1
20-May-16	1
24-May-16	1
10-Aug-16	1
16-Aug-16	1
17-Aug-16	2
18-Aug-16	2
31-Aug-16	1
1-Sep-16	1
9-Sep-16	1
11-Sep-16	1
18-Sep-16	2
23-Sep-16	1
26-Sep-16	3
30-Sep-16	1
3-Oct-16	1
4-Oct-16	1
6-Oct-16	1
7-Oct-16	1
21-Oct-16	6
22-Oct-16	1
23-Oct-16	1
24-Oct-16	6
25-Oct-16	1
26-Oct-16	1
31-Oct-16	1
10-Nov-16	1
19-Nov-16	1
29-Nov-16	3
30-Nov-16	1
4-Dec-16	2
6-Dec-16	1
7-Dec-16	4
8-Dec-16	2
9-Dec-16	1
15-Dec-16	1
20-Dec-16	1
22-Dec-16	1
28-Dec-16	3
30-Dec-16	1
3-Jan-17	1
5-Jan-17	2
6-Jan-17	1
7-Jan-17	2
9-Jan-17	1
27-Jan-17	1
30-Jan-17	3
2-Feb-17	1
3-Feb-17	1
21-Feb-17	1
27-Feb-17	2
28-Feb-17	5
1-Mar-17	1
2-Mar-17	1
6-Mar-17	1
20-Mar-17	11
26-Mar-17	1
28-Mar-17	1
29-Mar-17	5
30-Mar-17	1
