Column 1 1,Column 2
8/14/2015,1
8/15/2015,1
8/18/2015,1
9/14/2015,1
9/20/2015,1
4/11/2016,1
5/5/2016,1
5/25/2016,1
7/12/2016,1
7/15/2016,1
7/19/2016,1
7/20/2016,1
7/25/2016,1
7/29/2016,2
8/9/2016,2
8/10/2016,4
8/11/2016,30
8/12/2016,28
8/13/2016,27
8/14/2016,42
8/15/2016,32
8/16/2016,20
8/17/2016,24
8/18/2016,24
8/19/2016,22
8/20/2016,11
8/21/2016,27
8/22/2016,24
8/23/2016,32
8/24/2016,27
8/25/2016,32
8/26/2016,26
8/27/2016,25
8/28/2016,35
8/29/2016,14
8/30/2016,18
8/31/2016,18
9/1/2016,4
9/8/2016,1
9/9/2016,12
9/10/2016,15
9/11/2016,24
9/12/2016,22
9/13/2016,11
9/14/2016,20
9/15/2016,2
10/26/2016,1
11/23/2016,1
