date	mentions
14-Aug-15	1
15-Aug-15	1
18-Aug-15	1
14-Sep-15	1
20-Sep-15	1
11-Apr-16	1
5-May-16	1
25-May-16	1
12-Jul-16	1
15-Jul-16	1
19-Jul-16	1
20-Jul-16	1
25-Jul-16	1
29-Jul-16	2
9-Aug-16	2
10-Aug-16	4
11-Aug-16	30
12-Aug-16	28
13-Aug-16	27
14-Aug-16	42
15-Aug-16	32
16-Aug-16	20
17-Aug-16	24
18-Aug-16	24
19-Aug-16	22
20-Aug-16	11
21-Aug-16	27
22-Aug-16	24
23-Aug-16	32
24-Aug-16	27
25-Aug-16	32
26-Aug-16	26
27-Aug-16	25
28-Aug-16	35
29-Aug-16	14
30-Aug-16	18
31-Aug-16	18
1-Sep-16	4
8-Sep-16	1
9-Sep-16	12
10-Sep-16	15
11-Sep-16	24
12-Sep-16	22
13-Sep-16	11
14-Sep-16	20
15-Sep-16	2
26-Oct-16	1
23-Nov-16	1
