Column 1 1,Column 2
1/15/2015,1
2/18/2015,18
2/19/2015,50
2/20/2015,30
2/21/2015,7
2/22/2015,4
2/23/2015,26
2/24/2015,51
2/25/2015,43
2/26/2015,47
2/27/2015,17
2/28/2015,24
3/1/2015,16
3/2/2015,33
3/3/2015,23
3/4/2015,36
3/5/2015,23
3/6/2015,39
3/7/2015,10
3/8/2015,7
3/9/2015,18
3/10/2015,28
3/11/2015,53
3/12/2015,43
3/13/2015,25
3/14/2015,23
3/15/2015,9
3/16/2015,12
3/17/2015,54
3/18/2015,30
3/19/2015,33
3/20/2015,22
3/21/2015,9
3/22/2015,7
3/23/2015,12
3/24/2015,12
3/25/2015,37
3/26/2015,26
3/27/2015,24
3/28/2015,6
3/29/2015,12
3/30/2015,271
3/31/2015,111
4/1/2015,34
4/2/2015,14
4/3/2015,20
4/4/2015,6
4/5/2015,10
4/6/2015,13
4/7/2015,119
4/8/2015,33
4/9/2015,23
4/10/2015,26
4/11/2015,5
4/12/2015,11
4/13/2015,19
4/14/2015,40
4/15/2015,45
4/16/2015,23
4/17/2015,20
4/18/2015,12
4/19/2015,11
4/20/2015,14
4/21/2015,43
4/22/2015,43
4/23/2015,43
4/24/2015,47
4/25/2015,14
4/26/2015,6
4/27/2015,18
4/28/2015,47
4/29/2015,30
4/30/2015,40
5/1/2015,20
5/2/2015,6
5/3/2015,21
5/4/2015,24
5/5/2015,23
5/6/2015,14
5/7/2015,69
5/8/2015,53
5/9/2015,11
5/10/2015,22
5/11/2015,25
5/12/2015,14
5/13/2015,16
5/14/2015,14
5/15/2015,29
5/16/2015,22
5/17/2015,14
5/18/2015,55
5/19/2015,41
5/20/2015,19
5/21/2015,16
5/22/2015,18
5/23/2015,13
5/24/2015,16
5/25/2015,15
5/26/2015,39
5/27/2015,27
5/28/2015,10
5/29/2015,28
5/30/2015,17
5/31/2015,5
6/1/2015,17
6/2/2015,20
6/3/2015,52
6/4/2015,36
6/5/2015,18
6/6/2015,4
6/7/2015,8
6/8/2015,15
6/9/2015,21
6/10/2015,17
6/11/2015,19
6/12/2015,54
6/13/2015,14
6/14/2015,4
6/15/2015,23
6/16/2015,45
6/17/2015,38
6/18/2015,42
6/19/2015,85
6/20/2015,13
6/21/2015,13
6/22/2015,23
6/23/2015,50
6/24/2015,25
6/25/2015,16
6/26/2015,19
6/27/2015,6
6/28/2015,9
6/29/2015,32
6/30/2015,86
7/1/2015,70
7/2/2015,131
7/3/2015,81
7/4/2015,38
7/5/2015,25
7/6/2015,31
7/7/2015,93
7/8/2015,114
7/9/2015,41
7/10/2015,53
7/11/2015,23
7/12/2015,18
7/13/2015,40
7/14/2015,40
7/15/2015,35
7/16/2015,40
7/17/2015,31
7/18/2015,10
7/19/2015,15
7/20/2015,19
7/21/2015,22
7/22/2015,49
7/23/2015,39
7/24/2015,44
7/25/2015,21
7/26/2015,18
7/27/2015,32
7/28/2015,31
7/29/2015,34
7/30/2015,34
7/31/2015,36
8/1/2015,437
8/2/2015,81
8/3/2015,117
8/4/2015,72
8/5/2015,59
8/6/2015,43
