Column 1 1,Column 2
1/6/2015,1
2/23/2015,1
2/24/2015,2
2/25/2015,1
2/26/2015,2
3/1/2015,2
3/2/2015,1
3/4/2015,1
3/7/2015,1
3/13/2015,2
3/20/2015,2
3/24/2015,1
3/25/2015,2
3/27/2015,2
3/29/2015,1
4/1/2015,1
4/2/2015,3
4/3/2015,5
4/6/2015,1
4/7/2015,1
4/9/2015,2
4/10/2015,2
4/11/2015,1
4/13/2015,1
4/15/2015,2
4/17/2015,2
4/19/2015,2
4/20/2015,1
4/22/2015,1
4/23/2015,2
4/24/2015,1
4/27/2015,1
4/28/2015,1
4/29/2015,1
5/1/2015,2
5/3/2015,1
5/4/2015,1
5/5/2015,2
5/8/2015,1
5/9/2015,1
5/11/2015,3
5/12/2015,2
5/13/2015,2
5/16/2015,1
5/17/2015,3
5/18/2015,1
5/19/2015,1
5/20/2015,1
5/21/2015,3
5/24/2015,1
5/25/2015,2
5/26/2015,1
5/27/2015,2
5/28/2015,4
5/29/2015,4
6/1/2015,2
6/2/2015,1
6/3/2015,1
6/4/2015,4
6/6/2015,1
6/9/2015,5
6/10/2015,4
6/12/2015,1
6/15/2015,4
6/16/2015,2
6/17/2015,3
6/18/2015,4
6/19/2015,2
6/21/2015,1
6/22/2015,1
6/23/2015,5
6/24/2015,6
6/25/2015,1
6/26/2015,3
6/27/2015,1
6/30/2015,1
7/1/2015,4
7/2/2015,5
7/3/2015,1
7/6/2015,1
7/7/2015,2
7/8/2015,5
7/9/2015,5
7/10/2015,2
7/11/2015,3
7/12/2015,1
7/13/2015,1
7/14/2015,5
7/15/2015,8
7/16/2015,7
7/17/2015,3
7/18/2015,1
7/19/2015,2
7/20/2015,5
7/21/2015,2
7/22/2015,2
7/23/2015,6
7/24/2015,5
7/25/2015,2
7/26/2015,1
7/27/2015,6
7/28/2015,4
7/29/2015,2
7/30/2015,3
7/31/2015,8
8/1/2015,4
8/2/2015,2
8/3/2015,9
8/4/2015,5
8/5/2015,9
8/6/2015,3
8/7/2015,2
8/8/2015,2
8/10/2015,7
8/11/2015,8
8/12/2015,10
8/13/2015,5
8/14/2015,3
8/15/2015,1
8/16/2015,3
8/17/2015,6
8/18/2015,8
8/19/2015,4
8/20/2015,5
8/21/2015,2
8/23/2015,1
8/24/2015,7
8/25/2015,3
8/26/2015,1
8/27/2015,2
8/28/2015,8
8/29/2015,3
8/30/2015,1
8/31/2015,3
9/1/2015,13
9/2/2015,5
9/3/2015,7
9/4/2015,3
9/5/2015,3
9/6/2015,1
9/7/2015,1
9/8/2015,10
9/9/2015,8
9/11/2015,5
9/12/2015,3
9/13/2015,1
9/14/2015,6
9/15/2015,18
9/16/2015,13
9/17/2015,1
9/18/2015,12
9/19/2015,2
9/20/2015,2
9/21/2015,4
9/22/2015,3
9/23/2015,3
9/24/2015,4
9/25/2015,1
9/26/2015,1
9/27/2015,5
9/28/2015,6
9/29/2015,13
9/30/2015,6
10/1/2015,3
10/3/2015,3
10/4/2015,1
10/5/2015,13
10/6/2015,3
10/7/2015,4
