date,mentions
7-Jun-15,1
19-Jun-15,1
28-Jul-15,2
30-Jul-15,1
31-Jul-15,2
1-Aug-15,1
4-Aug-15,1
5-Aug-15,2
8-Aug-15,1
17-Aug-15,1
29-Aug-15,1
7-Sep-15,1
14-Sep-15,1
16-Sep-15,1
28-Sep-15,1
1-Oct-15,1
4-Oct-15,1
20-Oct-15,1
23-Oct-15,1
26-Oct-15,2
27-Oct-15,1
28-Oct-15,3
29-Oct-15,4
5-Nov-15,2
10-Nov-15,1
11-Nov-15,4
12-Nov-15,2
13-Nov-15,4
16-Nov-15,2
17-Nov-15,1
23-Nov-15,1
24-Nov-15,1
30-Nov-15,1
7-Dec-15,1
16-Dec-15,1
25-Dec-15,1
29-Dec-15,1
30-Dec-15,2
11-Jan-16,1
14-Jan-16,1
15-Jan-16,1
21-Jan-16,1
26-Jan-16,1
3-Feb-16,1
8-Feb-16,1
14-Feb-16,1
16-Feb-16,3
17-Feb-16,2
23-Feb-16,1
24-Feb-16,2
25-Feb-16,1
4-Mar-16,1
8-Mar-16,1
9-Mar-16,1
13-Mar-16,1
14-Mar-16,2
15-Mar-16,2
16-Mar-16,3
17-Mar-16,6
18-Mar-16,1
21-Mar-16,2
22-Mar-16,1
23-Mar-16,1
24-Mar-16,1
27-Mar-16,1
28-Mar-16,5
30-Mar-16,1
31-Mar-16,2
1-Apr-16,3
2-Apr-16,1
4-Apr-16,1
5-Apr-16,3
6-Apr-16,1
11-Apr-16,1
12-Apr-16,4
13-Apr-16,3
14-Apr-16,1
15-Apr-16,1
21-Apr-16,2
22-Apr-16,2
25-Apr-16,2
26-Apr-16,1
29-Apr-16,2
30-Apr-16,1
2-May-16,3
4-May-16,1
6-May-16,2
10-May-16,1
11-May-16,4
14-May-16,1
17-May-16,1
18-May-16,1
19-May-16,3
20-May-16,1
22-May-16,1
24-May-16,1
25-May-16,5
26-May-16,2
29-May-16,1
30-May-16,1
1-Jun-16,1
2-Jun-16,1
3-Jun-16,1
8-Jun-16,1
9-Jun-16,1
10-Jun-16,2
13-Jun-16,2
14-Jun-16,3
15-Jun-16,1
16-Jun-16,1
17-Jun-16,14
18-Jun-16,4
19-Jun-16,3
20-Jun-16,6
21-Jun-16,5
22-Jun-16,1
24-Jun-16,3
25-Jun-16,1
27-Jun-16,1
28-Jun-16,3
29-Jun-16,3
30-Jun-16,2
1-Jul-16,2
4-Jul-16,1
7-Jul-16,1
11-Jul-16,1
13-Jul-16,1
15-Jul-16,2
17-Jul-16,1
18-Jul-16,3
19-Jul-16,1
20-Jul-16,1
21-Jul-16,3
22-Jul-16,4
23-Jul-16,1
24-Jul-16,2
25-Jul-16,8
26-Jul-16,1
27-Jul-16,3
28-Jul-16,3
30-Jul-16,3
31-Jul-16,1
1-Aug-16,1
4-Aug-16,1
5-Aug-16,2
8-Aug-16,1
9-Aug-16,2
10-Aug-16,1
11-Aug-16,3
13-Aug-16,1
19-Aug-16,2
20-Aug-16,1
24-Aug-16,3
25-Aug-16,1
26-Aug-16,2
28-Aug-16,6
29-Aug-16,1
5-Sep-16,1
6-Sep-16,2
7-Sep-16,1
10-Sep-16,1
12-Sep-16,2
14-Sep-16,1
18-Sep-16,2
19-Sep-16,1
20-Sep-16,3
21-Sep-16,4
22-Sep-16,2
23-Sep-16,5
24-Sep-16,1
26-Sep-16,1
27-Sep-16,1
28-Sep-16,1
3-Oct-16,2
6-Oct-16,1
12-Oct-16,3
13-Oct-16,1
14-Oct-16,1
17-Oct-16,1
18-Oct-16,2
20-Oct-16,1
25-Oct-16,3
28-Oct-16,4
31-Oct-16,1
1-Nov-16,1
3-Nov-16,1
4-Nov-16,2
7-Nov-16,1
8-Nov-16,2
9-Nov-16,1
12-Nov-16,1
14-Nov-16,1
15-Nov-16,1
17-Nov-16,2
21-Nov-16,2
22-Nov-16,1
24-Nov-16,1
29-Nov-16,1
30-Nov-16,1
2-Dec-16,1
5-Dec-16,2
6-Dec-16,1
7-Dec-16,1
13-Dec-16,1
17-Dec-16,1
20-Dec-16,1
22-Dec-16,1
29-Dec-16,1
2-Jan-17,2
5-Jan-17,3
6-Jan-17,3
7-Jan-17,2
9-Jan-17,3
11-Jan-17,1
14-Jan-17,1
15-Jan-17,1
16-Jan-17,1
17-Jan-17,1
18-Jan-17,2
21-Jan-17,2
23-Jan-17,1
24-Jan-17,2
25-Jan-17,1
29-Jan-17,1
3-Feb-17,2
6-Feb-17,1
11-Feb-17,2
13-Feb-17,1
14-Feb-17,2
15-Feb-17,2
16-Feb-17,1
17-Feb-17,2
18-Feb-17,2
22-Feb-17,2
24-Feb-17,1
27-Feb-17,8
28-Feb-17,8
1-Mar-17,7
2-Mar-17,2
6-Mar-17,8
7-Mar-17,1
9-Mar-17,2
11-Mar-17,2
15-Mar-17,1
16-Mar-17,2
17-Mar-17,6
21-Mar-17,1
22-Mar-17,3
23-Mar-17,1
25-Mar-17,2
28-Mar-17,1
30-Mar-17,2
