dates,distance,occurrences,res.cluster
1/6/15,0,1,1
1/15/15,9,1,1
2/18/15,43,18,1
2/19/15,44,50,1
2/20/15,45,30,1
2/21/15,46,7,1
2/22/15,47,4,1
2/23/15,48,27,1
2/24/15,49,53,1
2/25/15,50,44,1
2/26/15,51,49,1
2/27/15,52,17,1
2/28/15,53,24,1
3/1/15,54,18,1
3/2/15,55,34,1
3/3/15,56,23,1
3/4/15,57,37,1
3/5/15,58,23,1
3/6/15,59,39,1
3/7/15,60,11,1
3/8/15,61,7,1
3/9/15,62,18,1
3/10/15,63,28,1
3/11/15,64,53,1
3/12/15,65,43,1
3/13/15,66,27,1
3/14/15,67,23,1
3/15/15,68,9,1
3/16/15,69,12,1
3/17/15,70,54,1
3/18/15,71,30,1
3/19/15,72,34,1
3/20/15,73,24,2
3/21/15,74,9,2
3/22/15,75,7,2
3/23/15,76,12,2
3/24/15,77,13,2
3/25/15,78,40,2
3/26/15,79,26,2
3/27/15,80,30,2
3/28/15,81,6,2
3/29/15,82,13,2
3/30/15,83,271,2
3/31/15,84,111,2
4/1/15,85,35,2
4/2/15,86,17,2
4/3/15,87,26,2
4/4/15,88,6,2
4/5/15,89,10,2
4/6/15,90,14,2
4/7/15,91,120,2
4/8/15,92,35,2
4/9/15,93,25,2
4/10/15,94,28,2
4/11/15,95,6,2
4/12/15,96,11,2
4/13/15,97,20,2
4/14/15,98,40,2
4/15/15,99,47,2
4/16/15,100,23,2
4/17/15,101,22,2
4/18/15,102,12,2
4/19/15,103,13,2
4/20/15,104,15,3
4/21/15,105,43,3
4/22/15,106,44,3
4/23/15,107,45,3
4/24/15,108,48,3
4/25/15,109,14,3
4/26/15,110,6,3
4/27/15,111,19,3
4/28/15,112,48,3
4/29/15,113,31,3
4/30/15,114,40,3
5/1/15,115,22,3
5/2/15,116,6,3
5/3/15,117,22,3
5/4/15,118,26,3
5/5/15,119,25,3
5/6/15,120,14,3
5/7/15,121,69,3
5/8/15,122,54,3
5/9/15,123,12,3
5/10/15,124,22,3
5/11/15,125,28,3
5/12/15,126,16,3
5/13/15,127,18,3
5/14/15,128,14,3
5/15/15,129,30,3
5/16/15,130,24,3
5/17/15,131,18,3
5/18/15,132,56,3
5/19/15,133,42,3
5/20/15,134,20,3
5/21/15,135,19,3
5/22/15,136,18,3
5/23/15,137,13,4
5/24/15,138,17,4
5/25/15,139,17,4
5/26/15,140,40,4
5/27/15,141,29,4
5/28/15,142,14,4
5/29/15,143,33,4
5/30/15,144,17,4
5/31/15,145,5,4
6/1/15,146,19,4
6/2/15,147,21,4
6/3/15,148,53,4
6/4/15,149,40,4
6/5/15,150,18,4
6/6/15,151,5,4
6/7/15,152,9,4
6/8/15,153,15,4
6/9/15,154,26,4
6/10/15,155,21,4
6/11/15,156,19,4
6/12/15,157,55,4
6/13/15,158,14,4
6/14/15,159,4,4
6/15/15,160,27,4
6/16/15,161,47,4
6/17/15,162,41,4
6/18/15,163,46,4
6/19/15,164,90,4
6/20/15,165,13,4
6/21/15,166,14,4
6/22/15,167,24,5
6/23/15,168,55,5
6/24/15,169,31,5
6/25/15,170,17,5
6/26/15,171,22,5
6/27/15,172,7,5
6/28/15,173,9,5
6/29/15,174,32,5
6/30/15,175,87,5
7/1/15,176,74,5
7/2/15,177,136,5
7/3/15,178,82,5
7/4/15,179,38,5
7/5/15,180,25,5
7/6/15,181,32,5
7/7/15,182,95,5
7/8/15,183,120,5
7/9/15,184,46,5
7/10/15,185,55,5
7/11/15,186,26,5
7/12/15,187,19,5
7/13/15,188,41,5
7/14/15,189,45,5
7/15/15,190,43,5
7/16/15,191,47,5
7/17/15,192,36,5
7/18/15,193,11,5
7/19/15,194,18,5
7/20/15,195,24,6
7/21/15,196,25,6
7/22/15,197,51,6
7/23/15,198,46,6
7/24/15,199,49,6
7/25/15,200,23,6
7/26/15,201,19,6
7/27/15,202,38,6
7/28/15,203,37,6
7/29/15,204,37,6
7/30/15,205,38,6
7/31/15,206,46,6
8/1/15,207,442,6
8/2/15,208,83,6
8/3/15,209,126,6
8/4/15,210,78,6
8/5/15,211,70,6
8/6/15,212,46,6
8/7/15,213,68,6
8/8/15,214,24,6
8/9/15,215,18,6
8/10/15,216,41,6
8/11/15,217,45,6
8/12/15,218,48,6
8/13/15,219,57,6
8/14/15,220,43,6
8/15/15,221,27,7
8/16/15,222,16,7
8/17/15,223,46,7
8/18/15,224,80,7
8/19/15,225,73,7
8/20/15,226,76,7
8/21/15,227,142,7
8/22/15,228,23,7
8/23/15,229,45,7
8/24/15,230,36,7
8/25/15,231,32,7
8/26/15,232,30,7
8/27/15,233,36,7
8/28/15,234,44,7
8/29/15,235,22,7
8/30/15,236,24,7
8/31/15,237,43,7
9/1/15,238,205,7
9/2/15,239,80,7
9/3/15,240,40,7
9/4/15,241,27,7
9/5/15,242,32,7
9/6/15,243,14,7
9/7/15,244,36,7
9/8/15,245,57,7
9/9/15,246,40,7
9/10/15,247,19,7
9/11/15,248,129,8
9/12/15,249,39,8
9/13/15,250,20,8
9/14/15,251,108,8
9/15/15,252,46,8
9/16/15,253,47,8
9/17/15,254,32,8
9/18/15,255,72,8
9/19/15,256,23,8
9/20/15,257,25,8
9/21/15,258,72,8
9/22/15,259,281,8
9/23/15,260,72,8
9/24/15,261,30,8
9/25/15,262,32,8
9/26/15,263,17,8
9/27/15,264,16,8
9/28/15,265,33,8
9/29/15,266,49,8
9/30/15,267,51,8
10/1/15,268,29,8
10/2/15,269,21,8
10/3/15,270,11,8
10/4/15,271,53,8
10/5/15,272,103,8
10/6/15,273,50,8
10/7/15,274,32,8
10/8/15,275,12,8
10/9/15,276,29,8
10/10/15,277,11,8
10/11/15,278,6,8
10/12/15,279,27,8
10/13/15,280,16,8
10/14/15,281,24,8
10/15/15,282,36,9
10/16/15,283,24,9
10/17/15,284,12,9
10/18/15,285,9,9
10/19/15,286,39,9
10/20/15,287,61,9
10/21/15,288,5,9
10/22/15,289,6,9
10/23/15,290,64,9
10/24/15,291,43,9
10/25/15,292,24,9
10/26/15,293,53,9
10/27/15,294,42,9
10/28/15,295,73,9
10/29/15,296,45,9
10/30/15,297,28,9
10/31/15,298,12,9
11/1/15,299,10,9
11/2/15,300,45,9
11/3/15,301,61,9
11/4/15,302,72,9
11/5/15,303,96,9
11/6/15,304,38,9
11/7/15,305,13,9
11/8/15,306,16,9
11/9/15,307,35,9
11/10/15,308,55,9
11/11/15,309,54,9
11/12/15,310,39,9
11/13/15,311,49,9
11/14/15,312,15,9
11/15/15,313,17,9
11/16/15,314,35,9
11/17/15,315,34,9
